,Seat,Constituency_title,Candidate_Name,Party,Votes,Total_Valid_Votes,Total_Rejected_Votes,Total_Votes,Total_Registered_Voters,Turnout,Election
13507,Kasur-II,NA-138,Nasira Meo,Independent,762, , , , ,62.38%,2018
13508,Kasur-II,NA-138,RABIA HASHIR,Roshan Pakistan League,1740, , , , ,62.38%,2018
13509,Kasur-II,NA-138,RASHID TUFAIL,Pakistan Tehreek-e-Insaf,78458, , , , ,62.38%,2018
13510,Kasur-II,NA-138,SAIMA DAWOOD,Independent,271, , , , ,62.38%,2018
13511,Kasur-II,NA-138,SARDAR LIAQAT ALI DOGAR,Tehreek-e-Labbaik Pakistan,15086, , , , ,62.38%,2018
13512,Kasur-III,NA-139,RANA MUHAMMAD ISHAQ KHAN,Pakistan Muslim League (N),121767,277448,8970,286418,477465,59.99%,2018
13513,Kasur-III,NA-139,SYED MUHAMMAD AMAAR QAZMI,Independent,202, , , , ,59.99%,2018
13514,Kasur-III,NA-139,SARDAR IQBAL ATTA SUKHERA,Independent,1180, , , , ,59.99%,2018
13515,Kasur-III,NA-139,SARDAR MUHAMAD ATIF NAKAI,Independent,40352, , , , ,59.99%,2018
13516,Kasur-III,NA-139,IJAZ ALI BHATTI,Independent,1038, , , , ,59.99%,2018
13517,Kasur-III,NA-139,AZEEM UD DIN ZAHID,Pakistan Tehreek-e-Insaf,112893, , , , ,59.99%,2018
13518,Kasur-III,NA-139,IRSHAD MUZAMIL,Aam Awam Party,38, , , , ,59.99%,2018
13519,Kasur-III,NA-139,Ghulam Murtaza,Independent,3032, , , , ,59.99%,2018
13520,Kasur-III,NA-139,Sardar Muhammad Asif Nakai,Independent,4016, , , , ,59.99%,2018
13521,Kasur-III,NA-139,ABDUL AZEEZ AZEEZ,Independent,796, , , , ,59.99%,2018
13522,Kasur-III,NA-139,RANA LIAQAT ALI KHAN,Pakistan Tehreek-e-Insaf Nazriati,558, , , , ,59.99%,2018
13523,Kasur-III,NA-139,MUHAMMAD MIRZA,Independent,152, , , , ,59.99%,2018
13524,Kasur-III,NA-139,ATTA MUHAMMAD,Independent,2471, , , , ,59.99%,2018
13525,Kasur-III,NA-139,ZAEEM UD DIN ABID,Independent,1229, , , , ,59.99%,2018
13526,Kasur-III,NA-139,ARSHAD ALI,Independent,1544, , , , ,59.99%,2018
13527,Kasur-III,NA-139,SYED MAQSOOD ALI SHAH,Tehreek-e-Labbaik Pakistan,15425, , , , ,59.99%,2018
13528,Kasur-III,NA-139,SYED RAZA ABBAS,Pakistan Peoples Party Parliamentarians,10355, , , , ,59.99%,2018
13529,Kasur-IV,NA-140,SARDAR TALIB HASSAN NAKAI,Pakistan Tehreek-e-Insaf,124621,281981,7453,289434,477211,60.65%,2018
13530,Kasur-IV,NA-140,DILSHAD ALI,Tehreek-e-Labbaik Islam,2490, , , , ,60.65%,2018
13531,Kasur-IV,NA-140,FAISAL HAYAT,Pakistan Tehreek-e-Insaf Nazriati,301, , , , ,60.65%,2018
13532,Kasur-IV,NA-140,MAQSOOD AHMAD KHAN,Pakistan Peoples Party Parliamentarians,6449, , , , ,60.65%,2018
13533,Kasur-IV,NA-140,MOHAMMAD RAMZAN,Muttahida Majlis-e-Amal Pakistan,1955, , , , ,60.65%,2018
13534,Kasur-IV,NA-140,MUHAMMAD ARSHAD SAQI,Independent,1106, , , , ,60.65%,2018
13535,Kasur-IV,NA-140,NASIR ALI,Independent,952, , , , ,60.65%,2018
13536,Kasur-IV,NA-140,RANA MUHAMMAD HAYAT KHAN,Pakistan Muslim League (N),124385, , , , ,60.65%,2018
13537,Kasur-IV,NA-140,RANA TANVEER RIAZ KHAN,Tehreek-e-Labbaik Pakistan,15500, , , , ,60.65%,2018
13538,Kasur-IV,NA-140,SARDAR FAIZ ELLAHI,Independent,1042, , , , ,60.65%,2018
13539,Kasur-IV,NA-140,Sardar Muhammad Asif Nakai,Independent,337, , , , ,60.65%,2018
13540,Kasur-IV,NA-140,SARDAR MUHAMMAD ATIF NAKAI,Independent,2843, , , , ,60.65%,2018
13541,Okara-I,NA-141,NADEEM ABBAS,Pakistan Muslim League (N),92841,262877,9418,272295,452061,60.23%,2018
13542,Okara-I,NA-141,SAEED UR REHMAN,Independent,2871, , , , ,60.23%,2018
13543,Okara-I,NA-141,KHALIL UR REHMAN,Independent,57859, , , , ,60.23%,2018
13544,Okara-I,NA-141,GHULAM MUJTABA,Pakistan Peoples Party Parliamentarians,10310, , , , ,60.23%,2018
13545,Okara-I,NA-141,MASOOD SHAFQAT,Independent,33040, , , , ,60.23%,2018
13546,Okara-I,NA-141,MUHAMMAD BILAL SAEED,Independent,2146, , , , ,60.23%,2018
13547,Okara-I,NA-141,SOHAIL ARSHAD CH,Independent,1371, , , , ,60.23%,2018
13548,Okara-I,NA-141,SYED SUMSAM ALI SHAH BUKHARI,Pakistan Tehreek-e-Insaf,60217, , , , ,60.23%,2018
13549,Okara-I,NA-141,NOOR UL AIN RAI,Independent,2222, , , , ,60.23%,2018
13550,Okara-II,NA-142,Riaz ul Haq,Pakistan Muslim League (N),140733,235192,4460,239652,421873,56.81%,2018
13551,Okara-II,NA-142,Fayyaz Zafar,Independent,1008, , , , ,56.81%,2018
13552,Okara-II,NA-142,Hafiz Muhammad Abid Attari,Tehreek-e-Labbaik Islam,1922, , , , ,56.81%,2018
13553,Okara-II,NA-142,Mian Abdul Rasheed,Independent,3466, , , , ,56.81%,2018
13554,Okara-II,NA-142,Muhammad Abid Ali Khan,Pakistan Kissan Ittehad(Ch. Anwar),202, , , , ,56.81%,2018
13555,Okara-II,NA-142,Muhammad Akram,Independent,745, , , , ,56.81%,2018
13556,Okara-II,NA-142,Muhammad Arshad Iqbal,Independent,116, , , , ,56.81%,2018
13557,Okara-II,NA-142,Muhammad Arslan,Pakistan Tehreek-e-Insaf-Gulalai,197, , , , ,56.81%,2018
13558,Okara-II,NA-142,Muhammad Tariq Khan,Pakistan Peoples Party Parliamentarians,4013, , , , ,56.81%,2018
13559,Okara-II,NA-142,Rao Hassan Sikandar,Pakistan Tehreek-e-Insaf,76592, , , , ,56.81%,2018
13560,Okara-II,NA-142,Sheraz Zafar,Independent,519, , , , ,56.81%,2018
13561,Okara-II,NA-142,Shumaila Shoukat,Tehreek-e-Labbaik Pakistan,5679, , , , ,56.81%,2018
13562,Okara-III,NA-143,RAO MUHAMMAD AJMAL KHAN,Pakistan Muslim League (N),142988,246272,5926,252198,433216,58.22%,2018
13563,Okara-III,NA-143,SYED ABBAS RAZA RIZVI,Independent,1236, , , , ,58.22%,2018
13564,Okara-III,NA-143,Mian Khuram Jehangir wattoo,Independent,536, , , , ,58.22%,2018
13565,Okara-III,NA-143,JAVED IQBAL,Tehreek-e-Labbaik Pakistan,5162, , , , ,58.22%,2018
13566,Okara-III,NA-143,RAO MUHAMMAD SAFDAR KHAN,Independent,267, , , , ,58.22%,2018
13567,Okara-III,NA-143,TANVEER HUSSAIN,Pakistan Peoples Party Parliamentarians,2518, , , , ,58.22%,2018
13568,Okara-III,NA-143,SYED GULZAR SIBTAIN SHAH,Pakistan Tehreek-e-Insaf,89177, , , , ,58.22%,2018
13569,Okara-III,NA-143,ALI NAWAZ SYED KIRMANI,Independent,127, , , , ,58.22%,2018
13570,Okara-III,NA-143,Syed Muhammad Ali Gillani,Independent,945, , , , ,58.22%,2018
13571,Okara-III,NA-143,SYED ALI ABBAS GILANI,Independent,1021, , , , ,58.22%,2018
13572,Okara-III,NA-143,RAO FAHAD AJMAL,Independent,1354, , , , ,58.22%,2018
13573,Okara-III,NA-143,MIAN MANZOOR AHMAD KHAN WATTOO,Independent,126, , , , ,58.22%,2018
13574,Okara-III,NA-143,SYED SALMAN HASNAIN,Independent,518, , , , ,58.22%,2018
13575,Okara-III,NA-143,SYED RAZA ALI GILLANI,Independent,297, , , , ,58.22%,2018
13576,Okara-IV,NA-144,Muhammad Mueen Wattoo,Pakistan Muslim League (N),118670,241463,6558,248021,431948,57.42%,2018
13577,Okara-IV,NA-144,Chand Bibi,Independent,173, , , , ,57.42%,2018
13578,Okara-IV,NA-144,Mian Khurrum Jehangir Wattoo,Independent,403, , , , ,57.42%,2018
13579,Okara-IV,NA-144,MIAN MANZOOR AHMAD KHAN WATTOO,Independent,105585, , , , ,57.42%,2018
13580,Okara-IV,NA-144,Mian Muhammad Fayyaz,Independent,1333, , , , ,57.42%,2018
13581,Okara-IV,NA-144,Muhammad Hussain,Independent,607, , , , ,57.42%,2018
13582,Okara-IV,NA-144,Muhammad Jamil Ashraf,Tehreek-e-Labbaik Pakistan,9100, , , , ,57.42%,2018
13583,Okara-IV,NA-144,Noor Ul Amin Wattoo,Independent,376, , , , ,57.42%,2018
13584,Okara-IV,NA-144,Rubina Shaheen Wattoo,Independent,1817, , , , ,57.42%,2018
13585,Okara-IV,NA-144,Sardar Ali Haider Khan,Independent,392, , , , ,57.42%,2018
13586,Okara-IV,NA-144,Shahzad Zulfiqar Ali,Pakistan Peoples Party Parliamentarians,1247, , , , ,57.42%,2018
13587,Okara-IV,NA-144,Syed Muhammad Ali Gillani,Independent,1195, , , , ,57.42%,2018
13588,Okara-IV,NA-144,SYED RAZA ALI GILLANI,Independent,565, , , , ,57.42%,2018
13589,Pakpattan-I,NA-145,Ahmad Raza Maneka,Pakistan Muslim League (N),118581,280086,8712,288798,501250,57.62%,2018
13590,Pakpattan-I,NA-145,Abdul Ghafoor,Independent,541, , , , ,57.62%,2018
13591,Pakpattan-I,NA-145,Asghar Ali,Independent,1473, , , , ,57.62%,2018
13592,Pakpattan-I,NA-145,Muhammad Shah Khagga,Pakistan Tehreek-e-Insaf,90683, , , , ,57.62%,2018
13593,Pakpattan-I,NA-145,Nadeem Iqbal,Independent,1244, , , , ,57.62%,2018
13594,Pakpattan-I,NA-145,Naseem Hashim Khan,Independent,25457, , , , ,57.62%,2018
13595,Pakpattan-I,NA-145,Rao Azmat Ullah,Muttahida Majlis-e-Amal Pakistan,1576, , , , ,57.62%,2018
13596,Pakpattan-I,NA-145,Sardar Mansab Ali Dogar,Independent,32491, , , , ,57.62%,2018
13597,Pakpattan-I,NA-145,Zulifqar Ali Khan,Pakistan Human Party,8040, , , , ,57.62%,2018
13598,Pakpattan-II,NA-146,rana iradat sharif khan,Pakistan Muslim League (N),138789,298980,8439,307419,516209,59.55%,2018
13599,Pakpattan-II,NA-146,MIAN MUHAMMAD AMJAD JOIYA,Pakistan Tehreek-e-Insaf,101509, , , , ,59.55%,2018
13600,Pakpattan-II,NA-146,GHULAM MUSTFA,Pakistan Human Party,21112, , , , ,59.55%,2018
13601,Pakpattan-II,NA-146,Muhammad kashif sarwar khan,Tehreek-e-Labbaik Pakistan,9858, , , , ,59.55%,2018
13602,Pakpattan-II,NA-146,ahmad zeeshan,Allah-o-Akbar Tehreek,4273, , , , ,59.55%,2018
13603,Pakpattan-II,NA-146,mian ejaz hussain sabar,Independent,364, , , , ,59.55%,2018
13604,Pakpattan-II,NA-146,shaukat ali bajwa,Pakistan Peoples Party Parliamentarians,11772, , , , ,59.55%,2018
13605,Pakpattan-II,NA-146,waseem zafar,Independent,3580, , , , ,59.55%,2018
13606,Pakpattan-II,NA-146,Ghulam Hasan,Independent,956, , , , ,59.55%,2018
13607,Pakpattan-II,NA-146,Muhammad Haider Sultan,Independent,243, , , , ,59.55%,2018
13608,Pakpattan-II,NA-146,saima kashifat ul firdous,Independent,92, , , , ,59.55%,2018
13609,Pakpattan-II,NA-146,Rashid Minhas,Independent,1563, , , , ,59.55%,2018
13610,Pakpattan-II,NA-146,Muhammad Farooq,Independent,2165, , , , ,59.55%,2018
13611,Pakpattan-II,NA-146,Jahangeer,Pakistan Kissan Ittehad(Ch. Anwar),2704, , , , ,59.55%,2018
13612,Sahiwal-I,NA-147,SYED IMRAN AHMAD SHAH,Pakistan Muslim League (N),120697,263514,6049,269563,480979,56.04%,2018
13613,Sahiwal-I,NA-147,ADNAN KHALID HUSSAIN,Pakistan Muslim League Orginization,211, , , , ,56.04%,2018
13614,Sahiwal-I,NA-147,AFTAB AHMAD KHAN,Independent,119, , , , ,56.04%,2018
13615,Sahiwal-I,NA-147,ALTAF NAWAZ,Independent,663, , , , ,56.04%,2018
13616,Sahiwal-I,NA-147,BASHIR AHMAD,Independent,1121, , , , ,56.04%,2018
13617,Sahiwal-I,NA-147,CHAUDHRY NOURAIZ SHAKOOR KHAN,Pakistan Tehreek-e-Insaf,86462, , , , ,56.04%,2018
13618,Sahiwal-I,NA-147,HAFIZ KHALID MEHMOOD,Independent,3329, , , , ,56.04%,2018
13619,Sahiwal-I,NA-147,HAROON ZAMAN KHAGGA,Independent,6291, , , , ,56.04%,2018
13620,Sahiwal-I,NA-147,IMRAN UL HAQ,Pakistan Quami Yakjehti Party,264, , , , ,56.04%,2018
13621,Sahiwal-I,NA-147,KHALID SADDIQUE KAMYANA,Tehreek-e-Labbaik Pakistan,11657, , , , ,56.04%,2018
13622,Sahiwal-I,NA-147,MIRAJ HAMEED,Independent,1206, , , , ,56.04%,2018
13623,Sahiwal-I,NA-147,MUHAMMAD ALI SHAKOOR,Independent,4605, , , , ,56.04%,2018
13624,Sahiwal-I,NA-147,MUHAMMAD NAEEM ASIF,Independent,191, , , , ,56.04%,2018
13625,Sahiwal-I,NA-147,NAZAR FARID NADEEM,Independent,452, , , , ,56.04%,2018
13626,Sahiwal-I,NA-147,RANA AMIR SHAHZAD TAHIR,Pakistan Peoples Party Parliamentarians,22765, , , , ,56.04%,2018
13627,Sahiwal-I,NA-147,ZAFAR IQBAL,Tehreek Jawanan Pakistan,481, , , , ,56.04%,2018
13628,Sahiwal-II,NA-148,Chaudry Muhammad Ashraf,Pakistan Muslim League (N),128880,269177,6843,276020,492020,56.10%,2018
13629,Sahiwal-II,NA-148,Muhammad Tanveer Choudry,Independent,9592, , , , ,56.10%,2018
13630,Sahiwal-II,NA-148,Ghulam Farid Kathia,Pakistan Peoples Party Parliamentarians,18940, , , , ,56.10%,2018
13631,Sahiwal-II,NA-148,Malik Muhammad Yar Dhakoo,Pakistan Tehreek-e-Insaf,87557, , , , ,56.10%,2018
13632,Sahiwal-II,NA-148,Umair Javed,Muttahida Majlis-e-Amal Pakistan,2718, , , , ,56.10%,2018
13633,Sahiwal-II,NA-148,Malik Muhammad Ramzan,Independent,579, , , , ,56.10%,2018
13634,Sahiwal-II,NA-148,Tariq Aziz,Awam League,493, , , , ,56.10%,2018
13635,Sahiwal-II,NA-148,Sami Minhas,Independent,3470, , , , ,56.10%,2018
13636,Sahiwal-II,NA-148,MUHAMMAD AMJAD,All Pakistan Muslim League,1202, , , , ,56.10%,2018
13637,Sahiwal-II,NA-148,Rai Munsaf Shabeer Ahmad,Tehreek-e-Labbaik Pakistan,15746, , , , ,56.10%,2018
13638,Sahiwal-III,NA-149,RAI MUHAMMAD MURTAZA IQBAL,Pakistan Tehreek-e-Insaf,137632,278627,4433,283060,497331,56.92%,2018
13639,Sahiwal-III,NA-149,MUHAMMAD TUFAIL,Pakistan Muslim League (N),111999, , , , ,56.92%,2018
13640,Sahiwal-III,NA-149,MUHAMMAD ASHRAF,Allah-o-Akbar Tehreek,5473, , , , ,56.92%,2018
13641,Sahiwal-III,NA-149,MASOOD KHAN,Independent,86, , , , ,56.92%,2018
13642,Sahiwal-III,NA-149,MUHAMMAD ARSHAD,Independent,992, , , , ,56.92%,2018
13643,Sahiwal-III,NA-149,AMNA NAZ,National Party,170, , , , ,56.92%,2018
13644,Sahiwal-III,NA-149,RANA HAMID,All Pakistan Muslim League,710, , , , ,56.92%,2018
13645,Sahiwal-III,NA-149,MUHAMMAD HAQ NAWAZ KHAN,Muttahida Majlis-e-Amal Pakistan,2099, , , , ,56.92%,2018
13646,Sahiwal-III,NA-149,ASHIQ HUSSAIN,Independent,1267, , , , ,56.92%,2018
13647,Sahiwal-III,NA-149,Muhammad Shakeel,Tehreek-e-Labbaik Islam,4136, , , , ,56.92%,2018
13648,Sahiwal-III,NA-149,MUHAMMAD HAMZA,Independent,1485, , , , ,56.92%,2018
13649,Sahiwal-III,NA-149,ALI JAVED,Pakistan Peoples Party Parliamentarians,12578, , , , ,56.92%,2018
13650,Khanewal-I,NA-150,Syed Fakhar Imam,Independent,101396,222455,5414,227869,380605,59.87%,2018
13651,Khanewal-I,NA-150,Abdul Khaliq Rehmani,Independent,5551, , , , ,59.87%,2018
13652,Khanewal-I,NA-150,Abdul Majeed Anwar,Independent,186, , , , ,59.87%,2018
13653,Khanewal-I,NA-150,Ijaz Ahmad Khan,Pakistan Peoples Party Parliamentarians,4515, , , , ,59.87%,2018
13654,Khanewal-I,NA-150,Muhammad Khawar Tasaduq,Independent,486, , , , ,59.87%,2018
13655,Khanewal-I,NA-150,Muhammad Raza Hayat Hiraj,Pakistan Tehreek-e-Insaf,91812, , , , ,59.87%,2018
13656,Khanewal-I,NA-150,Rana Muhammad Imran,Independent,443, , , , ,59.87%,2018
13657,Khanewal-I,NA-150,Saeed Ahmad Sargana,Pakistan Muslim League (N),18086, , , , ,59.87%,2018
13658,Khanewal-II,NA-151,Muhammad Khan Daha,Pakistan Muslim League (N),111198,233754,3638,237392,404946,58.62%,2018
13659,Khanewal-II,NA-151,Abid Mehmood,Independent,368, , , , ,58.62%,2018
13660,Khanewal-II,NA-151,Ahmad Yar Hiraj,Pakistan Tehreek-e-Insaf,109520, , , , ,58.62%,2018
13661,Khanewal-II,NA-151,Badar Muneer Ch,Allah-o-Akbar Tehreek,2171, , , , ,58.62%,2018
13662,Khanewal-II,NA-151,Muhammad Akram,Pakistan Rah-e-Haq Party,1409, , , , ,58.62%,2018
13663,Khanewal-II,NA-151,Muhammad Amir Sohail,Tehreek-e-Labbaik Pakistan,8973, , , , ,58.62%,2018
13664,Khanewal-II,NA-151,Muhammad Umer Draz Khalid,Independent,115, , , , ,58.62%,2018
13665,Khanewal-III,NA-152,Zahoor Hussain Qureshi,Pakistan Tehreek-e-Insaf,108707,231252,3983,235235,401277,58.62%,2018
13666,Khanewal-III,NA-152,Ghulam Haider,Muttahida Majlis-e-Amal Pakistan,1357, , , , ,58.62%,2018
13667,Khanewal-III,NA-152,Haider Zaman Qureshi,Pakistan Peoples Party Parliamentarians,12008, , , , ,58.62%,2018
13668,Khanewal-III,NA-152,Pir M Aslam Bodla Siddiqui,Pakistan Muslim League (N),98938, , , , ,58.62%,2018
13669,Khanewal-III,NA-152,Muhammad Shafiq Ul Rhman,Tehreek-e-Labbaik Pakistan,8388, , , , ,58.62%,2018
13670,Khanewal-III,NA-152,Muhammad Ashraf,Independent,1854, , , , ,58.62%,2018
13671,Khanewal-IV,NA-153,Chaudhry Iftikhar Nazir,Pakistan Muslim League (N),106291,247328,4514,251842,410891,61.29%,2018
13672,Khanewal-IV,NA-153,Atta ur Rahman,Independent,586, , , , ,61.29%,2018
13673,Khanewal-IV,NA-153,Aurangzaib Alimgir,Independent,3326, , , , ,61.29%,2018
13674,Khanewal-IV,NA-153,Ghulam Abbas,Tehreek-e-Labbaik Pakistan,7135, , , , ,61.29%,2018
13675,Khanewal-IV,NA-153,Malik Ghulam Murtaza,Pakistan Tehreek-e-Insaf,76920, , , , ,61.29%,2018
13676,Khanewal-IV,NA-153,Muhammad Anwar,Pakistan Kissan Ittehad(Ch. Anwar),646, , , , ,61.29%,2018
13677,Khanewal-IV,NA-153,Muhammad Sohail Zaman Shah,Independent,52424, , , , ,61.29%,2018
13678,Multan-I,NA-154,AHMAD HUSSAIN,Pakistan Tehreek-e-Insaf,74220,214634,5103,219737,385233,57.04%,2018
13679,Multan-I,NA-154,ANEELA IFTIKHAR,All Pakistan Muslim League,614, , , , ,57.04%,2018
13680,Multan-I,NA-154,IRAM GULL,Muttahida Majlis-e-Amal Pakistan,1103, , , , ,57.04%,2018
13681,Multan-I,NA-154,MAKHDOOM SYED MUHAMMAD SHER ALI SHAH,Independent,1855, , , , ,57.04%,2018
13682,Multan-I,NA-154,MALIK AZHAR AHMAD SANDILA,Tehreek-e-Labbaik Pakistan,7660, , , , ,57.04%,2018
13683,Multan-I,NA-154,MALIK NOOR HUSSAIN DEHAR,Independent,472, , , , ,57.04%,2018
13684,Multan-I,NA-154,MIAN MUHAMMAD SULEMAN ALI QURESHI,Pakistan Muslim League (N),20977, , , , ,57.04%,2018
13685,Multan-I,NA-154,MUHAMMAD TALAL ZOHAIB,Pakistan Siraiki Party (T),1815, , , , ,57.04%,2018
13686,Multan-I,NA-154,RANA AMEEQ UR REHMAN,Independent,1787, , , , ,57.04%,2018
13687,Multan-I,NA-154,SHOUKAT HAYAT BOSAN,Independent,1175, , , , ,57.04%,2018
13688,Multan-I,NA-154,SIKANDAR HAYAT KHAN BOSAN,Independent,37126, , , , ,57.04%,2018
13689,Multan-I,NA-154,SYED ABDUL QADIR GILLANI,Pakistan Peoples Party Parliamentarians,64257, , , , ,57.04%,2018
13690,Multan-I,NA-154,TAHIR RAZZAQ,Independent,1573, , , , ,57.04%,2018
13691,Multan-II,NA-155,Malik Muhammad Amir Doger,Pakistan Tehreek-e-Insaf,135726,236624,2719,239343,485810,49.27%,2018
13692,Multan-II,NA-155,Abdul Sattar Khan Tareen,Independent,394, , , , ,49.27%,2018
13693,Multan-II,NA-155,Imran Mustafa Khokhar,Pakistan Sunni Tehreek,109, , , , ,49.27%,2018
13694,Multan-II,NA-155,Karamat Ali,Pak Sarzameen Party,124, , , , ,49.27%,2018
13695,Multan-II,NA-155,Liaqat Ali,Independent,1796, , , , ,49.27%,2018
13696,Multan-II,NA-155,Mazhar Abbas,Independent,1230, , , , ,49.27%,2018
13697,Multan-II,NA-155,Muhammad Aleem,Tehreek-e-Labbaik Islam,1955, , , , ,49.27%,2018
13698,Multan-II,NA-155,Muhammad Arshad Bhatti,Allah-o-Akbar Tehreek,1731, , , , ,49.27%,2018
13699,Multan-II,NA-155,Muhammad Atif Imran,Mustaqbil Pakistan,128, , , , ,49.27%,2018
13700,Multan-II,NA-155,Muhammad Ayoub,Tehreek-e-Labbaik Pakistan,5589, , , , ,49.27%,2018
13701,Multan-II,NA-155,Muhammad Hashim Rasheed,Independent,134, , , , ,49.27%,2018
13702,Multan-II,NA-155,Muhammad Khalid Khakwani,Independent,5032, , , , ,49.27%,2018
13703,Multan-II,NA-155,Muhammad Tariq Rasheed,Pakistan Muslim League (N),80993, , , , ,49.27%,2018
13704,Multan-II,NA-155,Noshin Afshan,Awami National Party,179, , , , ,49.27%,2018
13705,Multan-II,NA-155,Rana Nadeem Ahmad,Independent,925, , , , ,49.27%,2018
13706,Multan-II,NA-155,Syed Taqi Haidar Shah,All Pakistan Muslim League,579, , , , ,49.27%,2018
13707,Multan-III,NA-156,Makhdoom Shah Mahmood Hussain Qureshi,Pakistan Tehreek-e-Insaf,116272,218738,3039,221777,444724,49.87%,2018
13708,Multan-III,NA-156,Syed Tanwir Ul Hassan Gillani,Independent,4548, , , , ,49.87%,2018
13709,Multan-III,NA-156,Muhammad Asghar,Tehreek-e-Labbaik Pakistan,6301, , , , ,49.87%,2018
13710,Multan-III,NA-156,Saba Faisal,Pakistan Awami Raj,241, , , , ,49.87%,2018
13711,Multan-III,NA-156,Sultan Mehmood Malik,All Pakistan Muslim League,267, , , , ,49.87%,2018
13712,Multan-III,NA-156,Shahzad Mumtaz,Independent,270, , , , ,49.87%,2018
13713,Multan-III,NA-156,Tahir Almas,Pakistan Kissan Ittehad(Ch. Anwar),568, , , , ,49.87%,2018
13714,Multan-III,NA-156,Amir Saeed Ansari,Pakistan Muslim League (N),84940, , , , ,49.87%,2018
13715,Multan-III,NA-156,Chaudhry Muhammad Din,Independent,177, , , , ,49.87%,2018
13716,Multan-III,NA-156,Ch Muhammad Abdullah Khan,Allah-o-Akbar Tehreek,2421, , , , ,49.87%,2018
13717,Multan-III,NA-156,NADEEM MUMTAZ QURESHI,Mustaqbil Pakistan,222, , , , ,49.87%,2018
13718,Multan-III,NA-156,Naqeeb Ullah,Muttahida Majlis-e-Amal Pakistan,2511, , , , ,49.87%,2018
13719,Multan-IV,NA-157,MAKHDOOM ZAIN HUSSAIN QURESHI,Pakistan Tehreek-e-Insaf,77371,219522,4233,223755,390725,57.27%,2018
13720,Multan-IV,NA-157,AAMIR ILYAS DOGAR,Independent,286, , , , ,57.27%,2018
13721,Multan-IV,NA-157,ABDUL GHAFAR,Pakistan Muslim League (N),62037, , , , ,57.27%,2018
13722,Multan-IV,NA-157,ASGHAR HUSSAIN SHAH,Independent,109, , , , ,57.27%,2018
13723,Multan-IV,NA-157,CHUDHARY MUHAMMAD DEEN,Independent,188, , , , ,57.27%,2018
13724,Multan-IV,NA-157,MUHAMMAD RAMZAN,Tehreek-e-Labbaik Pakistan,5887, , , , ,57.27%,2018
13725,Multan-IV,NA-157,MUHAMMAD WAQAS DOGAR,Independent,2814, , , , ,57.27%,2018
13726,Multan-IV,NA-157,SAYED ALI MOOSA GILANI,Pakistan Peoples Party Parliamentarians,70830, , , , ,57.27%,2018
13727,Multan-V,NA-158,Muhammad ibrahim khan,Pakistan Tehreek-e-Insaf,83304,241985,5690,247675,436391,56.76%,2018
13728,Multan-V,NA-158,M imran Shaukat khan,Independent,916, , , , ,56.76%,2018
13729,Multan-V,NA-158,Allah Nawaz,Pakistan Siraiki Party (T),4708, , , , ,56.76%,2018
13730,Multan-V,NA-158,Syed Yousaf Raza Gilani,Pakistan Peoples Party Parliamentarians,74443, , , , ,56.76%,2018
13731,Multan-V,NA-158,Muhammad Talal Zohaib,Independent,1870, , , , ,56.76%,2018
13732,Multan-V,NA-158,Syed Javed Ali Shah,Pakistan Muslim League (N),73218, , , , ,56.76%,2018
13733,Multan-V,NA-158,Zain Ali Shah,Independent,3526, , , , ,56.76%,2018
13734,Multan-VI,NA-159,Rana Muhammad Qasim Noon,Pakistan Tehreek-e-Insaf,102606,226785,6628,233413,413257,56.48%,2018
13735,Multan-VI,NA-159,Dewan Syed Muhammad Haider Ali Bukhari,Independent,7610, , , , ,56.48%,2018
13736,Multan-VI,NA-159,Mehdi Abbas Khan,Independent,1555, , , , ,56.48%,2018
13737,Multan-VI,NA-159,Muhammad Abbas,Tehreek-e-Labbaik Pakistan,6033, , , , ,56.48%,2018
13738,Multan-VI,NA-159,Muhammad Akram,Independent,340, , , , ,56.48%,2018
13739,Multan-VI,NA-159,Muhammad Ashgar,Independent,368, , , , ,56.48%,2018
13740,Multan-VI,NA-159,Muhammad Iqbal,Tehreek Tabdili Nizam Pakistan,3226, , , , ,56.48%,2018
13741,Multan-VI,NA-159,Muhammad Shahzad Hussain,Independent,2234, , , , ,56.48%,2018
13742,Multan-VI,NA-159,Muhammad Sheharyar Noon,Independent,373, , , , ,56.48%,2018
13743,Multan-VI,NA-159,Muhammad Zulqarnain Bukhari,Pakistan Muslim League (N),99374, , , , ,56.48%,2018
13744,Multan-VI,NA-159,Naghma Mushtaq,Independent,1639, , , , ,56.48%,2018
13745,Multan-VI,NA-159,Rana Shahzeb Ahmad Noon,Independent,1120, , , , ,56.48%,2018
13746,Multan-VI,NA-159,Siddique Ahmad,Independent,307, , , , ,56.48%,2018
13747,Lodhran-I,NA-160,ABDUL REHMAN KHAN KANJU,Pakistan Muslim League (N),125740,267535,6984,274519,456024,60.20%,2018
13748,Lodhran-I,NA-160,LIAQAT ALI KHAN,Pakistan Peoples Party Parliamentarians,15171, , , , ,60.20%,2018
13749,Lodhran-I,NA-160,MUHAMMAD AKHTAR KHAN KANJU,Pakistan Tehreek-e-Insaf,115321, , , , ,60.20%,2018
13750,Lodhran-I,NA-160,NAWAB AMANULLAH KHAN,Independent,987, , , , ,60.20%,2018
13751,Lodhran-I,NA-160,RANA MOIN FAREED NOON,Tehreek-e-Labbaik Pakistan,10316, , , , ,60.20%,2018
